code,system
B515000,readv2
B514.00,readv2
B517300,readv2
B517200,readv2
B510400,readv2
B510500,readv2
B510300,readv2
B51yz00,readv2
B511.00,readv2
B525.00,readv2
B520000,readv2
B51y000,readv2
B545000,readv2
B51y.00,readv2
B51..00,readv2
B513.00,readv2
B545200,readv2
B51z.00,readv2
B517100,readv2
B512000,readv2
B516.00,readv2
C71,readv2
B521200,readv2
B510100,readv2
B517000,readv2
B515.00,readv2
B52X.00,readv2
ByuA000,readv2
ByuA200,readv2
BBd2.12,readv2
BBbW.00,readv2
BBbV.00,readv2
BBbU.00,readv2
BBdA.00,readv2
BBbH.00,readv2
BBd2.00,readv2
BBbT.00,readv2
BBc2.00,readv2
BBbz.00,readv2
37473.0,readv2
18617.0,readv2
70942.0,readv2
71139.0,readv2
67288.0,readv2
70104.0,readv2
47556.0,readv2
46905.0,readv2
99621.0,readv2
98800.0,readv2
68027.0,readv2
41515.0,readv2
8328.0,readv2
93537.0,readv2
63925.0,readv2
45531.0,readv2
9575.0,readv2
46792.0,readv2
68479.0,readv2
61783.0,readv2
27748.0,readv2
39899.0,readv2
8550.0,readv2
15711.0,readv2
42426.0,readv2
99913.0,readv2
39088.0,readv2
57047.0,readv2
27846.0,readv2
48073.0,readv2
50235.0,readv2
66064.0,readv2
46789.0,readv2
28919.0,readv2
65952.0,readv2
59823.0,readv2
52511.0,readv2
27363.0,readv2
68641.0,readv2
67211.0,readv2
93097.0,readv2
64557.0,readv2
49875.0,readv2
9622.0,readv2
49714.0,readv2
65241.0,readv2
62126.0,readv2
67236.0,readv2
64971.0,readv2
45154.0,readv2
50035.0,readv2
51795.0,readv2
23083.0,readv2
103047.0,readv2
59718.0,readv2
101086.0,readv2
46404.0,readv2
47633.0,readv2
67587.0,readv2
61399.0,readv2
51115.0,readv2
58902.0,readv2
109473.0,readv2
70176.0,readv2
103995.0,readv2
96798.0,readv2
31767.0,readv2
34763.0,readv2
47840.0,readv2
59170.0,readv2
10851.0,readv2
27744.0,readv2
42460.0,readv2
41520.0,readv2
91240.0,readv2
70126.0,readv2
49132.0,readv2
54133.0,readv2
30273.0,readv2
8547.0,readv2
49186.0,readv2
100733.0,readv2
65599.0,readv2
44089.0,readv2
27653.0,readv2
53504.0,readv2
19226.0,readv2
B520.00,readv2
B520200,readv2
B520z00,readv2
B520100,readv2
B517.00,readv2
ByuA100,readv2
B517z00,readv2
C72,readv2
B523z00,readv2
B523.00,readv2
B522.00,readv2
BBbQ.00,readv2
BBbB.11,readv2
B521.00,readv2
B521z00,readv2
C70,readv2
B542.00,readv2
B542100,readv2
B542z00,readv2
C75.2,readv2
BBbK.00,readv2
BBbL.00,readv2
BBbM.00,readv2
BBbL.11,readv2
BBc6.11,readv2
B510.00,readv2
B510z00,readv2
B512z00,readv2
B512.00,readv2
B510000,readv2
B545z00,readv2
B545.00,readv2
C75.5,readv2
B542000,readv2
C75.1,readv2
ByuA300,readv2
B52W.00,readv2
B51y200,readv2
BBbR.00,readv2
BBbF.00,readv2
BBbC.00,readv2
BBbG.00,readv2
BBbG.11,readv2
BBbE.00,readv2
BBbG.12,readv2
BBbB.00,readv2
B544.00,readv2
C75.4,readv2
B545100,readv2
BBc7.11,readv2
BBbZ.00,readv2
ZV10y12,readv2
48085.0,readv2
B543.00,readv2
C75.3,readv2
BBcA.00,readv2
B51..11,readv2
BBbS.00,readv2
